_id,locationId,locationName,locationType,address,city,postal_code,addressInfo,dates,hours,info,phone,phoneExt,phoneAlt,phoneAltExt,website,Data_Source,OBJECTID,Date_Added,wardName,geometry
23,247,NEW CALEDONIA PHARMACY,Pharmacy Immunization Site,600 Caledonia Rd,None,None,None,None,"Monday: 9 a.m.-6:30 p.m., Tuesday: 9 a.m.-6:30 p.m., Wednesday: 9 a.m.-6:30 p.m., Thursday: 9 a.m.-6:30 p.m., Friday: 9 a.m.-5 p.m., Saturday: 9 a.m.-2:30 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-785-8385,None,None,None,None,Ontario Health; Toronto Public Health,37,2021-03-18,Eglinton-Lawrence,"{'type': 'MultiPoint', 'coordinates': [[-79.462294728, 43.693285018]]}"
24,248,HEALTH CHECK PHARMACY   PHARMASAVE,Pharmacy Immunization Site,"2826A MARKHAM ROAD, SCARBOROUGH, ONTARIO",None,None,None,None,"Monday: 9.30-20:00, Tuesday: 9.30-20:00, Wednesday: 9.30-20:00, Thursday: 9.30-20:00, Friday: 9.30-20:00, Saturday: 9.30-16:00, Sunday: CLOSED","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-298-8165,None,None,None,None,Ontario Health; Toronto Public Health,38,2021-03-18,Scarborough North,"{'type': 'MultiPoint', 'coordinates': [[-79.248587886, 43.823166745]]}"
25,249,Vina Pharmacy,Pharmacy Immunization Site,1025 Gerrard Street E,None,None,None,None,"Monday: 9:30 a.m.-7 p.m., Tuesday: 9:30 a.m.-7 p.m., Wednesday: 9:30 a.m.-7 p.m., Thursday: 9:30 a.m.-7 p.m., Friday: 9:30 a.m.-7 p.m., Saturday: 10:30 a.m.-3 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-469-5386,None,None,None,None,Ontario Health; Toronto Public Health,39,2021-03-18,Toronto-Danforth,"{'type': 'MultiPoint', 'coordinates': [[-79.337169872, 43.668691587]]}"
26,250,Birchmount Pharmasave,Pharmacy Immunization Site,462 Birchmount Road,None,None,None,None,"Monday: 9 a.m.-7 p.m., Tuesday: 9 a.m.-7 p.m., Wednesday: 9 a.m.-7 p.m., Thursday: 9 a.m.-7 p.m., Friday: 9 a.m.-7 p.m., Saturday: 9 a.m.-4 p.m., Sunday: 10 a.m.-1 p.m.","Adults 25 and over are eligible to receive the Moderna vaccine. This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-698-1616,None,None,None,None,Ontario Health; Toronto Public Health,40,2021-03-18,Scarborough Southwest,"{'type': 'MultiPoint', 'coordinates': [[-79.26959561, 43.707284138]]}"
27,251,Whole Health Pharmacy,Pharmacy Immunization Site,"1575 Jane Street, Unit 7",None,None,None,None,"Monday: 10 a.m.-7 p.m., Tuesday: 10 a.m.-7 p.m., Wednesday: 10 a.m.-7 p.m., Thursday: 10 a.m.-7 p.m., Friday: 10 a.m.-7 p.m., Saturday: 9:30 a.m.-1:30 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-245-2273,None,None,None,https://wholehealthcooksville.ca/,Ontario Health; Toronto Public Health,41,2021-03-18,York South-Weston,"{'type': 'MultiPoint', 'coordinates': [[-79.5023861, 43.699196993]]}"
28,252,pharmasave 606,Pharmacy Immunization Site,944 Kingston Rd.,None,None,None,None,"Monday: 9 a.m.-5 p.m., Tuesday: 9 a.m.-5 p.m., Wednesday: 9 a.m.-5 p.m., Thursday: 9 a.m.-5 p.m., Friday: 9 a.m.-5 p.m., Saturday: 9 a.m.-3 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-698-1641,None,None,None,https://lawlor.medmeapp.ca/schedule/,Ontario Health; Toronto Public Health,42,2021-03-18,Beaches-East York,"{'type': 'MultiPoint', 'coordinates': [[-79.288039552, 43.680636081]]}"
29,253,Keele and Finch Pharmacy,Pharmacy Immunization Site,102- 1275 Finch Ave West,None,None,None,None,"Monday: 9 a.m.-5 p.m., Tuesday: 9 a.m.-5 p.m., Wednesday: 9 a.m.-5 p.m., Thursday: 9 a.m.-5 p.m., Friday: 9 a.m.-5 p.m., Saturday: 9 a.m.-6 p.m., Sunday: Closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine. This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",647-349-2273,None,None,None,https://pharmasave.com/store/pharmasave-university-heights-pharmacy/,Ontario Health; Toronto Public Health,43,2021-03-18,York Centre,"{'type': 'MultiPoint', 'coordinates': [[-79.487445664, 43.763887344]]}"
30,254,Jarvis st. Apothecary,Pharmacy Immunization Site,275 Jarvis St.,None,None,None,None,"Monday: 9 a.m.-6:30 p.m., Tuesday: 9 a.m.-6:30 p.m., Wednesday: 9 a.m.-6:30 p.m., Thursday: 9 a.m.-6:30 p.m., Friday: 9 a.m.-6:30pm, Saturday: 9 a.m.-5 p.m., Sunday: Closed","Adults 25 and over are eligible to receive the Moderna vaccine. Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-792-1959,None,None,None,https://jarvis-st-apothecary.business.site,Ontario Health; Toronto Public Health,44,2021-03-18,Toronto Centre,"{'type': 'MultiPoint', 'coordinates': [[-79.374722773, 43.658253511]]}"
31,255,Total Health Pharmacy,Pharmacy Immunization Site,997 Gerrard St E,None,None,None,None,"Monday: 10 a.m.-6 p.m., Tuesday: 10 a.m.-6 p.m., Wednesday: 10 a.m.-6 p.m., Thursday: 10 a.m.-6 p.m., Friday: 10 a.m.-6 p.m., Saturday: 10 a.m.-6 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",647-351-3784,None,None,None,https://pharmaconnect.ca/Appointment/ff38dc2c-4b68-479a-a6a5-5c0f6bd992c5,Ontario Health; Toronto Public Health,45,2021-03-18,Toronto-Danforth,"{'type': 'MultiPoint', 'coordinates': [[-79.338046193, 43.668487404]]}"
32,256,Nor-Arm Pharmacy,Pharmacy Immunization Site,107-1280 Finch Ave West,None,None,None,None,"Monday: 9 a.m.-6:30 p.m., Tuesday: 9 a.m.-6:30 p.m., Wednesday: 9 a.m.-6:30 p.m., Thursday: 9 a.m.-6:30 p.m., Friday: 9 a.m.-6:30pm, Saturday: closeed, Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine. Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-667-8430,None,None,None,https://www.guardian-ida-pharmacies.ca/en/ontario/toronto/nor-arm-pharmacy-7018005,Ontario Health; Toronto Public Health,46,2021-03-18,York Centre,"{'type': 'MultiPoint', 'coordinates': [[-79.488537583, 43.764248055]]}"
33,257,Premier Pharmacy and Compounding Centre,Pharmacy Immunization Site,3323 Bathurst Street,None,None,None,None,"Monday: 9 a.m.-6:30 p.m., Tuesday: 9 a.m.-6:30 p.m., Wednesday: 9 a.m.-6:30 p.m., Thursday: 9 a.m.-6:30 p.m., Friday: 9 a.m.-3 p.m., Saturday: closed, Sunday: 10 a.m.-3 p.m.","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine. Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",647-347-1311,None,None,None,https://premierpharmacy.ca/,Ontario Health; Toronto Public Health,47,2021-03-18,Eglinton-Lawrence,"{'type': 'MultiPoint', 'coordinates': [[-79.430935728, 43.725380703]]}"
34,258,Northcliffe Pharmacy,Pharmacy Immunization Site,1751 Eglinton Avenue West,None,None,None,None,"Monday: 9 a.m.-7 p.m., Tuesday: 9 a.m.-7 p.m., Wednesday: 9 a.m.-7 p.m., Thursday: 9 a.m.-7 p.m., Friday: 9 a.m.-7 p.m., Saturday: 9 a.m.-5 p.m., Sunday: 9 a.m.-10 a.m.","Adults 25 and over are eligible to receive the Moderna vaccine. This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-256-7888,None,None,None,https://www.guardian-ida-pharmacies.ca/en/ontario/toronto/northcliff-pharmacy-7023147,Ontario Health; Toronto Public Health,48,2021-03-18,Toronto-St. Paul's,"{'type': 'MultiPoint', 'coordinates': [[-79.447847031, 43.696007225]]}"
35,259,LOBLAWS INC LOB1010 RX DSP,Pharmacy Immunization Site,5095 YONGE ST,None,None,None,None,"Monday: 8 a.m.-8 p.m., Tuesday: 8 a.m.-8 p.m., Wednesday: 8 a.m.-8 p.m., Thursday: 8 a.m.-8 p.m., Friday: 8 a.m.-8 p.m., Saturday: 10 a.m.-6 p.m., Sunday: 10 a.m.-5 p.m.","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine. Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-512-9436,None,None,None,https://www.loblaws.ca/covid19,Ontario Health; Toronto Public Health,49,2021-03-18,Willowdale,"{'type': 'MultiPoint', 'coordinates': [[-79.412275076, 43.768280256]]}"
36,260,LOBLAWS INC LOB1212 RX DSP,Pharmacy Immunization Site,396 ST CLAIR AVE W,None,None,None,None,"Monday: 8 a.m.-8 p.m., Tuesday: 8 a.m.-8 p.m., Wednesday: 8 a.m.-8 p.m., Thursday: 8 a.m.-8 p.m., Friday: 8 a.m.-8 p.m., Saturday: 9 a.m.-6 p.m., Sunday: 9 a.m.-6 p.m.","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine. Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-651-5145,None,None,None,https://www.loblaws.ca/covid19,Ontario Health; Toronto Public Health,50,2021-03-18,Toronto-St. Paul's,"{'type': 'MultiPoint', 'coordinates': [[-79.41530468, 43.684075185]]}"
37,278,Dynasty Pharmacy,Pharmacy Immunization Site,5460 Yonge Street Unit 106,None,None,None,None,"Monday: 9 a.m.-6 p.m., Tuesday: 9 a.m.-6 p.m., Wednesday: 9 a.m.-6 p.m., Thursday: 9 a.m.-6 p.m., Friday: 9 a.m.-6 p.m., Saturday: 9 a.m.-2 p.m., Sunday: Closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-250-5460,None,None,None,https://www.rxhealthmed.ca/locations/dynasty-pharmacy/,Ontario Health; Toronto Public Health,51,2021-03-18,Willowdale,"{'type': 'MultiPoint', 'coordinates': [[-79.415524819, 43.777205211]]}"
38,279,Lingeman IDA Pharmacy,Pharmacy Immunization Site,411 Jane st,None,None,None,None,"Monday: 9:30 a.m.-7 p.m., Tuesday: 9:30 a.m.-7 p.m., Wednesday: 9:30 a.m.-7 p.m., Thursday: 9:30 a.m.-7 p.m., Friday: 9:30 a.m.-7 p.m., Saturday: 9 a.m.-4 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-767-8409,None,None,None,https://www.guardian-ida-pharmacies.ca/en/ontario/toronto/lingeman-ida-pharmacy-7028510,Ontario Health; Toronto Public Health,52,2021-03-18,Parkdale-High Park,"{'type': 'MultiPoint', 'coordinates': [[-79.487922138, 43.658742791]]}"
39,280,Guardian Village Square Pharmacy,Pharmacy Immunization Site,"2942 FINCH AVE E., Scar, Ont",None,None,None,None,"Monday: 9 a.m.-7 p.m., Tuesday: 9 a.m.-7 p.m., Wednesday: 9 a.m.-7 p.m., Thursday: 9 a.m.-7 p.m., Friday: 9 a.m.-7 p.m., Saturday: 9 a.m.-3 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-492-4167,None,None,None,https://www.guardian-ida-pharmacies.ca/en/ontario/scarborough/village-square-pharmacy-7005106,Ontario Health; Toronto Public Health,53,2021-03-18,Scarborough-Agincourt,"{'type': 'MultiPoint', 'coordinates': [[-79.329809802, 43.794260779]]}"
40,281,Orton Park Guardian Pharmacy,Pharmacy Immunization Site,136 Orton Park Road,None,None,None,None,"Monday: 9 a.m.-7 p.m., Tuesday: 9 a.m.-7 p.m., Wednesday: 9 a.m.-7 p.m., Thursday: 9 a.m.-7 p.m., Friday: 9 a.m.-7 p.m., Saturday: 9 a.m.-5 p.m., Sunday: Closed","Adults 25 and over are eligible to receive the Moderna vaccine. This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-439-7222,None,None,None,https://www.guardian-ida-pharmacies.ca/en/ontario/scarborough/orton-park-pharmacy-7041430,Ontario Health; Toronto Public Health,54,2021-03-18,Scarborough-Guildwood,"{'type': 'MultiPoint', 'coordinates': [[-79.20911961, 43.77171822]]}"
41,282,Canadian Compounding Pharmacy,Pharmacy Immunization Site,2920 Bloor St West,None,None,None,None,"Monday: 9 a.m.-9 p.m., Tuesday: 9 a.m.-9 p.m., Wednesday: 9 a.m.-9 p.m., Thursday: 9 a.m.-9 p.m., Friday: 9 a.m.-9 p.m., Saturday: 10 a.m.-2 p.m., Sunday: CLOSED","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-239-3566,None,None,None,https://www.medspharmacy.ca/canadian-compounding-pharmacy,Ontario Health; Toronto Public Health,55,2021-03-18,Etobicoke-Lakeshore,"{'type': 'MultiPoint', 'coordinates': [[-79.507232356, 43.648501682]]}"
42,283,High Park,Pharmacy Immunization Site,1938 Bloor St. W,None,None,None,None,"Monday: 9 a.m.-7 p.m., Tuesday: 9 a.m.-7 p.m., Wednesday: 9 a.m.-7 p.m., Thursday: 9 a.m.-7 p.m., Friday: 9 a.m.-7 p.m., Saturday: 9 a.m.-5 p.m., Sunday: closed","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-769-2222,None,None,None,https://www.medspharmacy.ca/high-park-pharmacy,Ontario Health; Toronto Public Health,56,2021-03-18,Parkdale-High Park,"{'type': 'MultiPoint', 'coordinates': [[-79.466789535, 43.653433271]]}"
43,284,Junction Pharmacy,Pharmacy Immunization Site,3016 DUNDAS ST WEST,None,None,None,None,"Monday: 9 a.m.-9 p.m., Tuesday: 9 a.m.-9 p.m., Wednesday: 9 a.m.-9 p.m., Thursday: 9 a.m.-9 p.m., Friday: 9 a.m.-9 p.m., Saturday: 9 a.m.-5 p.m., Sunday: 11 a.m.-4 p.m.","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine. This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-763-2394,None,None,None,https://www.medspharmacy.ca/junction-pharmacy,Ontario Health; Toronto Public Health,57,2021-03-18,Parkdale-High Park,"{'type': 'MultiPoint', 'coordinates': [[-79.469944965, 43.665660061]]}"
44,285,Rosebury - Sobeys,Pharmacy Immunization Site,145 Marlee Avenue,None,None,None,None,"Monday: 9 a.m.-9 p.m., Tuesday: 9 a.m.-9 p.m., Wednesday: 9 a.m.-9 p.m., Thursday: 9 a.m.-9 p.m., Friday: 9 a.m.-9 p.m., Saturday: 9 a.m.-6 p.m., Sunday: 10 a.m.-5 p.m.","Adults 25 and over are eligible to receive the Moderna vaccine. Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-781-0606,None,None,None,https://www.pharmacyappointments.ca/,Ontario Health; Toronto Public Health,58,2021-03-18,Eglinton-Lawrence,"{'type': 'MultiPoint', 'coordinates': [[-79.441027128, 43.703254768]]}"
45,286,Lawrence/Midland - Sobeys,Pharmacy Immunization Site,2650 Lawrence Avenue E,None,None,None,None,"Monday: 9 a.m.-9 p.m., Tuesday: 9 a.m.-9 p.m., Wednesday: 9 a.m.-9 p.m., Thursday: 9 a.m.-9 p.m., Friday: 9 a.m.-9 p.m., Saturday: 9 a.m.-6 p.m., Sunday: 10 a.m.-5 p.m.","People 12 years of age and older in 2021 are eligible to receive the Pfizer vaccine.  This pharmacy also offers the AstraZeneca vaccine (second dose only). Please call or visit the pharmacy's website to check if you need an appointment or if walk-in (first come, first served) vaccinations are available.",416-755-4184,None,None,None,https://www.pharmacyappointments.ca/,Ontario Health; Toronto Public Health,59,2021-03-18,Scarborough Centre,"{'type': 'MultiPoint', 'coordinates': [[-79.263873273, 43.752174235]]}"
