EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,COMMENTS,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE,SIMPLIFIED_COMMENTS
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Southern Manitoba,10/9/2019 12:00:00 AM,"A few days before Thanksgiving weekend in 2019, an early winter storm moved across southwestern Manitoba, Winnipeg and the Interlake region. There was a historic snowfall recorded throughout the province including Winnipeg which received 34 cm, however, southwest of the city recorded upwards of 50-75 cm. Over 30,000 leafed trees on public lands were affected by the weight of the snow. The storm resulted in widespread power outages with over 250,000 people losing power - the largest in Manitoba Hydro's history. Manitoba Hydro with help from Minnesota Power, SaskPower, and Hydro One replaced over 4,000 damaged hydro poles and restrung over 950 km of power lines. Power was restored to all communities by October 25th. States of Local Emergencies were declared in 11 communities across the impacted area including Winnipeg. Furthermore, over 6,000 people were evacuated from First Nation communities. The storm caused an estimated $17.6 million in losses to the City of Winnipeg.",,0.0,6000.0,,,10/13/2019 12:00:00 AM,,,,,,,,,,"A few days before Thanksgiving weekend in 2019, an early winter storm moved across southwestern Manitoba, Winnipeg and the Interlake region. There was a historic snowfall recorded throughout the province including Winnipeg which received 34 cm, however, southwest of the city recorded upwards of 50-75 cm"
Disaster,Natural,Meteorological - Hydrological,Hurricane / Typhoon / Tropical Storm,Atlantic Canada,9/7/2019 12:00:00 AM,"Just after 7:00pm (local) on September 7th, post-tropical storm Dorian made landfall between Sambro and Terence Bay, NS. Although Dorian had transitioned to a post-tropical storm before landfall, it maintained its category 2 intensity with 155 km/hr sustained winds. Dorian brought extensive rain and wind across many parts of Atlantic Canada. The Halifax area, for example, experienced 124 km/hr winds and 102.4 mm of rain. Dorian tracked across Prince Edward Island and then through the Gulf of the St. Lawrence to Newfoundland and Labrador. Stephenville, NL, reported 117 km/hr winds on September 8th. Dorian caused extensive power outages across the impacted areas; 80% of Nova Scotia was without power which was the highest in the history of the province. A request for federal assistance to restore essential services and to help the public was accepted on the 7th. The Canadian Armed Forces deployed up to 450 personnel to help in the efforts. Dorian damaged property and physical infrastructure as well as a significant number of trees and crops. The estimated insurable losses were over $105 million (CAD 2019) with $62.2 million in Nova Scotia, $22.5 million in New Brunswick, $17.5 million in PEI, $2.5 million in Newfoundland and Labrador, and $300,000 in Quebec.",0.0,0.0,,,,9/8/2019 12:00:00 AM,,,,,,,,,,"Just after 7:00pm (local) on September 7th, post-tropical storm Dorian made landfall between Sambro and Terence Bay, NS. Although Dorian had transitioned to a post-tropical storm before landfall, it maintained its category 2 intensity with 155 km/hr sustained winds"
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,"Spruce Grove, Alberta",8/2/2019 12:00:00 AM,"On the evening of August 2nd, a severe storm with significant hail tracked across Edmonton. Spruce Grove - a community west of Edmonton - recorded hail that was 80-120 mm in diameter, while in Edmonton hail was measured at 45-70 mm in diameter. The hail caused an estimated $89.9 million (CAD 2019) in insurable losses; $46.9 million in auto damage, $39.5 million in personal property damage, and $3.4 million in commercial property damage.",0.0,0.0,0.0,,,8/2/2019 12:00:00 AM,,,,,,90000000.0,,,,"On the evening of August 2nd, a severe storm with significant hail tracked across Edmonton. Spruce Grove - a community west of Edmonton - recorded hail that was 80-120 mm in diameter, while in Edmonton hail was measured at 45-70 mm in diameter"
Disaster,Natural,Meteorological - Hydrological,Wildfire,Pikangikum First Nation,5/30/2019 12:00:00 AM,"In May of 2019, the Pikangikum First Nation was threatened by a large wildfire (Red Lake 14). The community declared a state of emergency, and the Canadian Armed Forces began evacuations of the community on May 30th using a CC-130 Hercules aircraft. Roughly, 2,500 residents were evacuated.",0.0,0.0,2500.0,,,6/10/2019 12:00:00 AM,,,,,,,,,,"In May of 2019, the Pikangikum First Nation was threatened by a large wildfire (Red Lake 14). The community declared a state of emergency, and the Canadian Armed Forces began evacuations of the community on May 30th using a CC-130 Hercules aircraft"
Disaster,Natural,Meteorological - Hydrological,Wildfire,"High Level, Alberta",5/12/2019 12:00:00 AM,"Persistent drought conditions had been recorded in northwestern Alberta since July of 2018 and were ideal for wildfire. On May 11th, the Chuckegg Creek wildfire was discovered by a lookout and was most likely initiated the evening before by a lightning strike. In the late afternoon of May 17th, high winds fanned the fire and it was declared out of control. The fire grew from 23 km2 (2,300 ha) to over 714 km2 (71,400 ha) between May 17th and 20th. As a result, over 3,000 residents of Mackenzie County, the Town of High Level and the Dene Tha' First Nation were evacuated; residents of Keg River and Carcajou were also evacuated. They were able to return home between June 2nd and 5th. The fire led to  more evacuations in June and included the Hamlet of La Crete, Beaver First Nation and the community of Blue Hills. On May 31st, the Province of Alberta requested federal assistance. The Chuckegg Creek wildfire fire was deemed out of control for 98 days and burned a total of 3,501 km2 (350,135 ha). It was declared under control on August 18th. The Paddle Prairie Metis Settlement and the Thompkins Landing/Blue Hills areas were impacted by the wildfire. In Paddle Prairie Metis Settlement, for example, there was both physical and cultural impacts including 16 homes that were destroyed and significant loss to several traditional medicine gathering sites. Two other major fires occurred in northern Alberta during that season - the McMillian and Battle fires - in total roughly 20 communities (15,000 individuals) were affected by evacuations.",0.0,0.0,3000.0,,,8/18/2019 12:00:00 AM,,,,,,,,,,"Persistent drought conditions had been recorded in northwestern Alberta since July of 2018 and were ideal for wildfire. On May 11th, the Chuckegg Creek wildfire was discovered by a lookout and was most likely initiated the evening before by a lightning strike"
Disaster,Natural,Meteorological - Hydrological,Flood,Eastern Canada,4/18/2019 12:00:00 AM,"Extensive flooding in April and May was experienced across Ontario, Quebec and New Brunswick due to a combination of heavy rainfalls and snow melt. In the Beauce region of Quebec, 154.5 mm of rain fell in April and was one of the first regions to be impacted by the spring floods.",,,,,,,,,,,,,,,,"Extensive flooding in April and May was experienced across Ontario, Quebec and New Brunswick due to a combination of heavy rainfalls and snow melt. In the Beauce region of Quebec, 154.5 mm of rain fell in April and was one of the first regions to be impacted by the spring floods."
"The most severe flooding took place in Quebec where there were over 10,000 evacuees and over 6,600 flooded homes. One person was killed in Pontiac, QC, after the road washed out. In Sainte-Marthe-sur-le-Lac, a suburb of Montreal in the Deux-Montagnes MRC, a 15-23 m rupture in the natural dyke system forced the immediate evacuation of over 5,000 residents and 50 streets were flooded overnight on April 27-28th. Historical water levels were also experienced at the Chute-Bell hydro dam along Riviere Rouge where 50 residents of Grenville-sur-la-Rouge were evacuated due to fears of a dam failure.",,,,,,,,,,,,,,,,,,,,,,No detailed comment available.
"States of emergency extended across the 3 provinces, including in Ottawa and Montreal. By the end of April, over a dozen states of emergency had been declared along the Ottawa River and its tributaries alone. Around 2,000 Canadian Forces personnel were deployed, which was more than the number deployed overseas.",1,,10000,0,,4/18/2019 12:00:00 AM,,,,,,,,,,,,,,,,4/18/2019 12:00:00 AM
Disaster,Natural,Meteorological - Hydrological,Flood,"Kashechewan, Ontario",4/15/2019 12:00:00 AM,"Seasonal flooding along the Albany River forced the evacuation of Kashechewan First Nation, a community of 2,500, to various communities throughout Ontario including Timmins, Kapuskasing, Thunder Bay and Cornwall. The annual evacuation was moved ahead of schedule due to heavy snow.",,,2500.0,0.0,,4/15/2019 12:00:00 AM,,,,,,,,,,"Seasonal flooding along the Albany River forced the evacuation of Kashechewan First Nation, a community of 2,500, to various communities throughout Ontario including Timmins, Kapuskasing, Thunder Bay and Cornwall. The annual evacuation was moved ahead of schedule due to heavy snow."
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Eastern Canada,3/14/2019 12:00:00 AM,"A significant low pressure system tracked through Ontario, Quebec, New Brunswick and Nova Scotia between March 14th to 16th. The winter storm produced warm temperatures and rain which caused signifncant flooding in parts of Ontario such as Bolton and Caledon along the Humber River, and in Quebec. The storm moved through Quebec and into the Maritimes on the 15th and continued to bring rain and wind. It is estimated that the storm caused $124 million in insured losses ($63 million in Quebec, $53 million in Ontario, $6.6 million in Nova Scotia, and $1.8 million in New Brunswick).",,,,124000000.0,,3/14/2019 12:00:00 AM,,,,,,124000000.0,,,,"A significant low pressure system tracked through Ontario, Quebec, New Brunswick and Nova Scotia between March 14th to 16th. The winter storm produced warm temperatures and rain which caused signifncant flooding in parts of Ontario such as Bolton and Caledon along the Humber River, and in Quebec"
Disaster,Natural,Meteorological - Hydrological,Winter Storm,Eastern Canada,1/23/2019 12:00:00 AM,"From January 23rd to January 25th, 2019, a severe winter storm hit Quebec and the Maritime provinces. Over the course of the three days, heavy snowfall, freezing rain, and high winds caused over $39 million in damage, $26 million of which was in Quebec. The winter storm caused widespread school and flight cancellations, and power failures impacted 57,000 clients.",,,,39000000.0,,1/25/2019 12:00:00 AM,,,,,,39000000.0,,57000.0,,"From January 23rd to January 25th, 2019, a severe winter storm hit Quebec and the Maritime provinces. Over the course of the three days, heavy snowfall, freezing rain, and high winds caused over $39 million in damage, $26 million of which was in Quebec"
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,British Columbia,12/22/2018 12:00:00 AM,"A powerful windstorm caused significant damage to hydro infrastructure in the Fraser Valley, the southern Gulf Island, and Vancouver Island, causing 400,000 BC Hydro customers to lose power. One person was killed in Duncan because of a falling tree.",1.0,,,52765000.0,,12/22/2018 12:00:00 AM,,,,,,52765000.0,,400000.0,,"A powerful windstorm caused significant damage to hydro infrastructure in the Fraser Valley, the southern Gulf Island, and Vancouver Island, causing 400,000 BC Hydro customers to lose power. One person was killed in Duncan because of a falling tree."
Disaster,Natural,Meteorological - Hydrological,Tornado,National Capital Region,9/21/2018 12:00:00 AM,"On September 21st, 6 tornadoes touched down in and near the National Capital Region. The strongest was an EF-3 that touched down near the City of Ottawa’s rural neighbourhoods of Kinburn and Dunrobin, and tracked almost 40 km across the Ottawa River into the lower Pontiac (Luskville) and the Mont Bleu neighbourhood of Gatineau between 4:40 pm and 5:20 pm. The estimated wind speeds were up to 265 km/hr. ",,,,,,,,,,,,,,,,"On September 21st, 6 tornadoes touched down in and near the National Capital Region. The strongest was an EF-3 that touched down near the City of Ottawa’s rural neighbourhoods of Kinburn and Dunrobin, and tracked almost 40 km across the Ottawa River into the lower Pontiac (Luskville) and the Mont Bleu neighbourhood of Gatineau between 4:40 pm and 5:20 pm"
"An EF-2 tornado, the second largest tornado of the outbreak, struck the Ottawa neighbourhoods of Arlington Woods and Craig Henry at around 6:00pm. The estimated wind speeds of this tornado was up to 220 km/hr.",,,,,,,,,,,,,,,,,,,,,,No detailed comment available.
"Four EF-1 tornadoes with wind speeds estimated between 138-177 km/hr touched down near Calabogie, ON; near the Baskatong Reservoir, QC, at around 3:30 pm (on the ground for 10 km); near Val-des-Bois, QC, at around 5:00pm (on the ground for 13 km); and near Otter Lake, QC, (on the ground for 3 km). In Quebec, the tornadoes caused $8.4 million in damages/losses to Hydro-Quebec.",,,,,,,,,,,,,,,,,,,,,,No detailed comment available.
"Extensive building damage was reported – almost 1,700 housing units were damaged in Gatineau, and 160 buildings with serious structural damage in the City of Ottawa, in addition to apartment complexes and commercial businesses in both affected areas. The tornado outbreak caused $334 million in insured damage, with at least $192 million in eastern Ontario and $102 million in the Gatineau Region.",,6,,334000000,,9/21/2018 12:00:00 AM,,,,,,334000000,,,,,,,,,,9/21/2018 12:00:00 AM
Disaster,Natural,Meteorological - Hydrological,Wildfire,British Columbia,8/15/2018 12:00:00 AM,"British Columbia and its interior and south coast regions experienced exceptionally hot and dry weather in May and throughout the summer. For 2 consecutive years, the BC wildfire seasons were record-breaking. At the end of the season, there was a reported 2,091 fires that burned over 1.35 million hectares of land; more than the previous record. A provincial State of Emergency was declared on August 15th and eventually cancelled on September 7th.",,,,,,,,,,,,,,,,"British Columbia and its interior and south coast regions experienced exceptionally hot and dry weather in May and throughout the summer. For 2 consecutive years, the BC wildfire seasons were record-breaking"
"In August during the peak of the fire season, over 10 million Canadians were exposed to exposed to smoke-polluted air – Calgary had 478 hours of smoke and haze which is almost 40 times their normal amount.",,,3200,0,,9/7/2018 12:00:00 AM,,,,,,,,,,,,,,,,9/7/2018 12:00:00 AM
Disaster,Natural,Meteorological - Hydrological,Flood,Toronto,8/7/2018 12:00:00 AM,"A severe overnight storm produced over 70 mm of rain in Toronto; some localized rainfall measured over 120 mm. The rainfall amounts ranged from +100 mm in North York and the downtown area to only 6 mm at Pearson International Airport. Several people had to be rescued from their vehicles due to the urban flooding. Flooding or flood-related water was also reported in Toronto City Hall, Scotiabank Arena, Rogers Centre, and Union Station. This overnight urban flooding event caused over $80 million in insured losses.",,,,80000000.0,,8/8/2018 12:00:00 AM,,,,,,80000000.0,,,,A severe overnight storm produced over 70 mm of rain in Toronto; some localized rainfall measured over 120 mm. The rainfall amounts ranged from +100 mm in North York and the downtown area to only 6 mm at Pearson International Airport
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Southern Alberta,8/1/2018 12:00:00 AM,"A hail storm struck Calgary on July 23rd which created drifts of hail and large hailstones. The largest recorded hail stone was 64 mm in diameter – similar to the size of a tennis ball - measured in Bashaw, AB. ",,,,,,,,,,,,,,,,"A hail storm struck Calgary on July 23rd which created drifts of hail and large hailstones. The largest recorded hail stone was 64 mm in diameter – similar to the size of a tennis ball - measured in Bashaw, AB"
"Less than 2 weeks later, another series of severe storms with hail affected Alberta. On August 2nd a hail storm moved through the Calgary area with golf-ball sized hail (over 50 mm in diameter). In Alberta, there was $80 million in damage – a significant proportion of that was to vehicles. The line of storms continued into Saskatchewan and Manitoba. The storm also produced an EF-4 tornado that killed one person near Alonsa, MB.",1,,,80000000,,8/3/2018 12:00:00 AM,,,,,,80000000,,,,,,,,,,8/3/2018 12:00:00 AM
Disaster,Natural,Meteorological - Hydrological,Wildfire,Ontario,7/3/2018 12:00:00 AM,"2018 was an exceptionally busy fire season in Ontario with nearly twice as many fires and more than double the burned area than the 10-year average. At the end of the season, there was a reported 1,325 fires that burned over 275,000 ha of land. In July alone, 549 fires were recorded. Over 900 out-of-province personnel were brought in from 9 provinces and territories, the United States and Mexico. ",,,,,,,,,,,,,,,,"2018 was an exceptionally busy fire season in Ontario with nearly twice as many fires and more than double the burned area than the 10-year average. At the end of the season, there was a reported 1,325 fires that burned over 275,000 ha of land"
"Some of the most notable fires were: Nipigon 30 which was the largest fire and burned almost 33,000 ha; and both Parry Sound 33 and the Temagami fire cluster led to multiple evacuation orders of communities, the closure of provincial parks, and air quality advisories.",,,,0,,9/1/2018 12:00:00 AM,,,,,,,,,,,,,,,,9/1/2018 12:00:00 AM
Disaster,Natural,Meteorological - Hydrological,Heat Event,Quebec,6/30/2018 12:00:00 AM,Record-breaking heat was measured across Canada and in parts of southern Ontario and Quebec. A rare set of two semi-permanent highs hovered over eastern and western Canada which locked in the hot temperatures. ,,,,,,,,,,,,,,,,Record-breaking heat was measured across Canada and in parts of southern Ontario and Quebec. A rare set of two semi-permanent highs hovered over eastern and western Canada which locked in the hot temperatures
"The heat wave lasted from June 30th to July 7th with several days of base temperatures of over 35C and humidexes of over 40C. Quebec health officials linked 93 deaths to heat-related complications – over 50 in Montreal alone. The heat event affected Ontario as well – on July 1st Ottawa registered a temperature of 34.7C with a humidex of 47C, and Gatineau a humidex of 48C.",93,,,0,,7/7/2018 12:00:00 AM,,,,,,,,,,,,,,,,7/7/2018 12:00:00 AM
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Southern Manitoba,6/14/2018 12:00:00 AM,"On June 14th severe thunderstorms affected parts of southern Manitoba. These storms generated wind gusts of over 100 km/hr and baseball-sized hail as well as a tornado near Waskada, MB. The hardest hit areas were Morden, Winkler, Ninette and Manitou, MB.",,,,20000000.0,,6/14/2018 12:00:00 AM,,,,,,20000000.0,,,,"On June 14th severe thunderstorms affected parts of southern Manitoba. These storms generated wind gusts of over 100 km/hr and baseball-sized hail as well as a tornado near Waskada, MB"
